200.137.218.130 - ('h200137218130.ufg.br', [], ['200.137.218.130'])
200.129.192.19 - ('www.ufms.br', [], ['200.129.192.19'])
200.129.209.136 - ('portal.ufgd.edu.br', [], ['200.129.209.136'])
186.249.51.27 - ('host-027.itec.al.gov.br', [], ['186.249.51.27'])
200.128.56.17 - ('200-128-56-17.rev4.ufba.br', [], ['200.128.56.17'])
200.128.3.15 - ('lugarcomum.uneb.br', [], ['200.128.3.15'])
18.231.26.230 - ('ec2-18-231-26-230.sa-east-1.compute.amazonaws.com', [], ['18.231.26.230'])
34.69.15.206 - ('206.15.69.34.bc.googleusercontent.com', [], ['34.69.15.206'])
200.129.22.158 - ('ibicuitinga.uece.br', [], ['200.129.22.158'])
200.137.132.187 - ('portalpadrao.ufma.br', [], ['200.137.132.187'])
150.165.254.52 - ('nginx.bbn.ufpb.br', [], ['150.165.254.52'])
150.161.6.84 - ('ead.ufpe.br', [], ['150.161.6.84'])
177.20.144.66 - ('ciclo.info.ufrn.br', [], ['177.20.144.66'])
119.8.229.155 - ('ecs-119-8-229-155.compute.hwclouds-dns.com', [], ['119.8.229.155'])
200.137.162.127 - ('www.ufpi.edu.br', [], ['200.137.162.127'])
200.129.173.47 - ('www.ufac.br', [], ['200.129.173.47'])
189.26.4.201 - ('189.26.4.201.dynamic.adsl.gvt.net.br', [], ['189.26.4.201'])
200.129.179.7 - ('pitanga.uft.edu.br', [], ['200.129.179.7'])
200.137.65.4 - ('drupal19.ufes.br', [], ['200.137.65.4'])
200.131.128.48 - ('thor.unifei.edu.br', [], ['200.131.128.48'])
200.131.250.18 - ('site.ufla.br', [], ['200.131.250.18'])
200.131.62.17 - ('www.uftm.edu.br', [], ['200.131.62.17'])
200.131.252.165 - ('www.ufvjm.edu.br', [], ['200.131.252.165'])
200.131.19.78 - ('pegasus1.cpd.ufjf.br', [], ['200.131.19.78'])
150.164.250.1 - ('www.ufmg.br', [], ['150.164.250.1'])
200.239.128.199 - ('ufop.br', [], ['200.239.128.199'])
200.235.168.227 - ('w1.srv.ufv.br', [], ['200.235.168.227'])
131.221.240.56 - ('www.inatel.br', [], ['131.221.240.56'])
200.17.67.239 - ('www.ufsj.edu.br', [], ['200.17.67.239'])
200.19.145.55 - ('bulma.dr.ufu.br', [], ['200.19.145.55'])
200.131.38.57 - ('vm-wordpress-02.ditic.sgi.cefetmg.br', [], ['200.131.38.57'])
187.45.195.60 - ('hm3408.locaweb.com.br', [], ['187.45.195.60'])
200.9.149.88 - ('nginx.cefet-rj.br', [], ['200.9.149.88'])
200.20.0.21 - ('www.uff.br', [], ['200.20.0.21'])
200.11.2.21 - ('portal.ufrrj.br', [], ['200.11.2.21'])
152.92.1.117 - ('unidades3.uerj.br', [], ['152.92.1.117'])
200.144.93.58 - ('vml114.epm.br', [], ['200.144.93.58'])
200.144.145.195 - ('luma.pucsp.br', [], ['200.144.145.195'])
104.77.168.49 - ('a104-77-168-49.deploy.static.akamaitechnologies.com', [], ['104.77.168.49'])
200.136.207.122 - ('web-07-nova.ufscar.br', [], ['200.136.207.122'])
200.145.6.98 - ('groob.reitoria.unesp.br', [], ['200.145.6.98'])
143.106.143.186 - ('143-106-143-186.nuvem.unicamp.br', [], ['143.106.143.186'])
200.144.248.54 - ('www5.usp.br', [], ['200.144.248.54'])
207.248.87.50 - ('afesbj.com.br', [], ['207.248.87.50'])
34.203.182.226 - ('ec2-34-203-182-226.compute-1.amazonaws.com', [], ['34.203.182.226'])
187.32.91.8 - ('xen.cikel.com.br', [], ['187.32.91.8'])
189.90.65.155 - ('srv-155.uel.br', [], ['189.90.65.155'])
186.233.154.103 - ('webgateway.uem.br', [], ['186.233.154.103'])
177.101.17.22 - ('177-101-17-22.static.uepg.br', [], ['177.101.17.22'])
200.17.209.3 - ('web.ufpr.br', [], ['200.17.209.3'])
131.255.84.123 - ('www.unioeste.br', [], ['131.255.84.123'])
200.19.254.110 - ('joomla.furg.br', [], ['200.19.254.110'])
200.160.128.48 - ('www.ucs.br', [], ['200.160.128.48'])
200.17.160.80 - ('m.ufpel.edu.br', [], ['200.17.160.80'])
143.54.2.20 - ('www.ufrgs.br', [], ['143.54.2.20'])
200.18.47.118 - ('www.ufsm.br', [], ['200.18.47.118'])
200.17.87.13 - ('www.unijui.edu.br', [], ['200.17.87.13'])
200.132.146.52 - ('www.unipampa.edu.br', [], ['200.132.146.52'])
177.44.240.52 - ('www.univates.br', [], ['177.44.240.52'])
179.97.105.65 - ('moodle.udesc.br', [], ['179.97.105.65'])
150.162.2.10 - ('paginas.ufsc.br', [], ['150.162.2.10'])
200.169.52.190 - ('190.52.169.200.univali.br', [], ['200.169.52.190'])
201.54.207.9 - ('lb.furb.br', [], ['201.54.207.9'])
200.18.15.19 - ('dcc.unesc.net', [], ['200.18.15.19'])
200.135.49.107 - ('www.uffs.edu.br', [], ['200.135.49.107'])
200.18.15.19 - ('www.propex.unesc.net', [], ['200.18.15.19'])
